"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","AveExpr","F","P.Value","adj.P.Val"
"Gpr157",-0.0164927180543179,-0.153429876617332,-0.00985495037565359,0.0138228770746902,1.20289141199701,0.340266901902608,0.86733243235285
"Ksr2",0.052693979761178,-0.00155595309703419,-0.0320871269385539,0.00943295616365352,1.20258361982757,0.340373011439843,0.86733243235285
"Prkcq",0.0114613174643701,-0.0730647790779241,-0.0472329656497536,0.00905751562759419,1.20254040489277,0.340387912248447,0.86733243235285
"Garem2",-0.0366997038566765,-0.0363631884790343,0.0398341648348744,0.016186033602391,1.20251731324643,0.340395874681941,0.86733243235285
"Tmem267",-0.189551986582757,0.2745098973967,-0.0501667222014618,0.196220756055212,1.20225265191114,0.340487148513745,0.86733243235285
"Padi3",-0.0813169696193003,0.0472538265948352,0.024805720601782,0.0202569242407583,1.20195741573689,0.340588996291177,0.86733243235285
"Gjb4",-0.0413666299766911,-0.149128674878308,-0.0409473934651919,0.0165555282681765,1.20152194735275,0.340739277027983,0.86733243235285
"Cenpw",-0.0997993062296248,-0.0148645545903317,0.0293873306010793,0.0337320135262072,1.20103508367701,0.340907374792798,0.86733243235285
"Uncx",-0.0644859854585659,-0.0499147384474349,-0.0111062473435081,0.0124487209737278,1.20099119095122,0.340922533659409,0.86733243235285
"Ppl",-0.00362171604010235,0.17921748857201,0.00113546020400473,0.0200574204961113,1.2009826805126,0.340925472918929,0.86733243235285
"Hdac9",0.0264883657984631,0.0981708947141191,-0.00650730743219032,0.012218973286448,1.20060286675118,0.341056676051244,0.86733243235285
"Slc3a2",0.0205599387543655,0.162700670830167,0.0452965227990604,0.0286678072939079,1.20051678742416,0.341086418543833,0.86733243235285
"Adam18",0.0810965604377412,-0.0170497990744949,0.0345010596078855,0.0134445122087069,1.20045741133245,0.341106935970325,0.86733243235285
"Sptb",-0.00916955616505992,-0.060066020947841,0.0681581133499182,0.03892059068467,1.20025245312885,0.341177769054771,0.86733243235285
"Mrgprb2",0.0321686270123052,0.0872861199354951,-0.0152315246847441,0.0108556764025558,1.20019973434339,0.34119599098213,0.86733243235285
"Net1",0.143762557559454,-0.0370045271026811,-0.00664490376852295,0.0499224549559072,1.20012830604166,0.341220681330374,0.86733243235285
"Cfap65",-0.0383948140362247,0.0707717825421979,-0.0521138712469383,0.0131375596676925,1.1998205560016,0.34132708104331,0.86733243235285
"Lamp2",-0.0201372060000104,0.050109582242621,-0.0406218675364394,0.0127074311754427,1.19970357771139,0.3413675333521,0.86733243235285
"Guf1",0.0623226357917967,-0.00615357505952045,0.0568966641814879,0.0147701042208713,1.19968349828313,0.341374477520921,0.86733243235285
"Tcf3",-0.0032332987517459,0.0977988816259633,0.034173848353811,0.0143266025079582,1.19960387195682,0.341402016515117,0.86733243235285
"Hormad2",-0.112806178188801,-0.00792694610833249,-0.0364496983541202,0.0188165704864533,1.19957844767459,0.3414108100556,0.86733243235285
"Wdr20rt",-0.0136656581390065,0.117664555023013,0.0429704550755141,0.0123425751952124,1.19950073555774,0.341437689918258,0.86733243235285
"Tas2r134",-0.0595221041632124,-0.0122867800179225,-0.000736704705807871,0.0061414296519569,1.19883879625675,0.341666736145311,0.867400589400582
"Dctd",0.0324317360751344,-0.0809436340500942,0.0174592818828734,0.00728115635863883,1.19849188107967,0.341786839621496,0.867400589400582
"Kdm5c",-0.0288474700272439,0.107344039627893,-0.0370888900349393,0.0246617974629834,1.198491662801,0.341786915204087,0.867400589400582
"Cracdl",-0.00671821621521764,-0.121252927138825,0.0157969365044238,0.0136565700942143,1.19844980773343,0.341801408528463,0.867400589400582
"Ces2e",-0.0513094431355282,0.084312738213072,0.0423590567177053,0.0185894003449692,1.19844802227719,0.341802026799649,0.867400589400582
"Treml1",-0.00805278155412784,-0.145562659653241,-0.0393749669564268,0.0244852726964434,1.19807769192056,0.341930290259119,0.867400589400582
"Emc9",0.100889850525188,-0.0591447631004885,0.0120251597615209,0.0132562969061465,1.19794953555556,0.3419746885364,0.867400589400582
"Alox15",-0.0352746543373426,-0.0646019122248348,0.0423869073610159,0.0150797914816019,1.19794248713376,0.341977130551154,0.867400589400582
"Ackr3",0.0568677391556087,0.198385499655357,0.0319442258124374,0.0287506608270446,1.19759374896509,0.342097977596212,0.867400589400582
"Iapp",-0.00876966723319535,0.118394850725688,-0.0262320129245142,0.0123533349204698,1.19721858244845,0.342228031592728,0.867400589400582
"Olfr1320",0.0121092737129176,0.0919536246052324,-0.0466345966438082,0.0187835954163274,1.19668125122928,0.342414389258232,0.867400589400582
"Dagla",-0.0479714902571269,-0.076940044023871,0.0142800850305606,0.0119260755740654,1.19664763126951,0.342426052814289,0.867400589400582
"Drd1",0.0539176305147176,0.0785685830813831,0.0319758376122872,0.00859357952678775,1.19646530584275,0.34248931288491,0.867400589400582
"Tubg2",-0.0266870179351929,-0.12520954522407,-0.0387059717086353,0.0150615273654253,1.19639474916989,0.342513796609578,0.867400589400582
"Czib",-0.072363231263463,-0.0560176921298868,-0.0029828853603791,0.0238108702786885,1.19624094335966,0.342567174655599,0.867400589400582
"Lyrm9",0.0717261212166131,0.0240750323011827,0.022964212571743,0.0122984165761929,1.19621231449632,0.342577111194256,0.867400589400582
"Gnb2",-0.0910146406335037,0.0253534650888655,0.0347057508788114,0.0201292521944725,1.19600616256962,0.342648671353943,0.867400589400582
"Myh7",0.0922731766430412,-0.0287909582538807,0.0897720642952756,0.0427783123807137,1.19494491182816,0.343017298556293,0.867400589400582
"Glp1r",0.0220913583423408,0.204351926918603,-0.00429470739673769,0.0278788853409574,1.19482798983085,0.343057936424273,0.867400589400582
"Olfr272",0.0162953452453352,0.136495121109893,0.00922779764418927,0.0116217981952639,1.19479053302641,0.343070956100336,0.867400589400582
"Atraid",0.017062932236454,0.00137425229873086,-0.0455698001466027,0.0108715582300454,1.19462527293869,0.343128405181373,0.867400589400582
"Akr1c20",0.0254797855026918,-0.104270008650557,-0.0130915425770108,0.00935659438531692,1.19454988499585,0.34315461543309,0.867400589400582
"Hepacam2",0.0567335140688191,0.0649372500699056,0.0191291845395732,0.0101132666163004,1.19441597347501,0.343201177727675,0.867400589400582
"Sod3",-0.00669675387374854,0.148156437716605,0.00687502278165917,0.0125632659631412,1.19439021233863,0.343210135858582,0.867400589400582
"Mtcl1",-0.0150962958951369,0.116471128764562,-0.0234643930465393,0.0135093750639609,1.19426577956494,0.343253409255844,0.867400589400582
"Xylt2",0.0162006330731085,0.117504272898487,0.00196383092454595,0.00969816072248452,1.19414493379322,0.343295440563506,0.867400589400582
"Dusp10",-0.0318290545520675,-0.162020553409961,-0.0176337174268516,0.0185259866220984,1.19339277658069,0.343557166435286,0.867400589400582
"Satb2",-0.0870764152846169,-0.0049685147539082,-0.0284721016500937,0.0300620691119218,1.19320117626588,0.343623869646017,0.867400589400582
"Pus3",0.0152992792967492,0.130044202274573,0.0223802034590404,0.0114203604793209,1.19317958060158,0.343631388732671,0.867400589400582
"H3c7",0.0373457623845527,-0.0560255097399557,-0.0486045517525806,0.00979634568062793,1.19310808265362,0.343656283785941,0.867400589400582
