"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mfsd4b4",0.0139334884544827,0.00966460551247439,0.523297290542043,0.607878052386238,0.958142854253695,-5.95948478559501
"Sestd1",-0.0121512479821093,0.0156323942339804,-0.523200594881393,0.607943820806829,0.958142854253695,-5.95953495438081
"Eif2b1",-0.0151085321292023,0.0131801180693767,-0.523134911964462,0.607988497613471,0.958142854253695,-5.95956902766581
"Trpt1",-0.0183486130947564,0.0137238446224996,-0.523050396579847,0.608045986418507,0.958142854253695,-5.95961286429832
"Cblif",-0.0138319742878907,0.0117280209449095,-0.523037267538742,0.608054917254191,0.958142854253695,-5.95961967348599
"Tenm2",0.0172893847152376,0.0198120316756446,0.522683879279283,0.608295328439374,0.958199797661496,-5.9598028912376
"Olfr133",0.0125399528587445,0.0094649118613081,0.522674440252008,0.608301750476416,0.958199797661496,-5.95980778335912
"Txnrd2",0.0147434859430654,0.0132207849842614,0.522474255716985,0.608437957948065,0.958199797661496,-5.95991151624646
"Kif13b",0.0135734015949674,0.00551583467198169,0.522359158403554,0.608516277997082,0.958199797661496,-5.95997114073663
"Adsl",-0.0252946256869608,0.0434349236102656,-0.522205400941403,0.608620912716107,0.958199797661496,-5.96005077277474
"Grb7",-0.0145147976038558,0.0146812309515779,-0.522189050257367,0.608632040166899,0.958199797661496,-5.9600592395746
"Dst",0.0142212272276557,0.0103027591972547,0.522176409323863,0.608640643016612,0.958199797661496,-5.96006578519597
"Olfr447",0.0140321942366141,0.011491038878072,0.522118012090427,0.608680386311941,0.958199797661496,-5.96009602197282
"Dusp1",-0.0176045078510878,0.0129302752564973,-0.522030983896315,0.608739617274588,0.958199797661496,-5.96014107716239
"Ulk4",-0.0180492979565886,0.0135678384676394,-0.521804164582495,0.608894002594684,0.958199797661496,-5.96025846926376
"Hrh2",0.0156873131705908,0.0135390621606963,0.521711428004012,0.60895712955179,0.958199797661496,-5.96030645162046
"Ginm1",-0.019514468175854,0.0380998694125288,-0.521580304799043,0.609046392212449,0.958199797661496,-5.96037428135726
"Fads6",-0.0203270375508726,0.0172873336798317,-0.521565715441952,0.609056324371432,0.958199797661496,-5.96038182738127
"Tmem265",0.0139806468360434,0.0132800132783242,0.521528498427776,0.609081661369824,0.958199797661496,-5.96040107614041
"Ctsa",0.022268313283648,0.0294204711832476,0.521089872924986,0.609380312237599,0.958224939143108,-5.9606278347691
"Ikzf1",-0.0268882272748358,0.0248275859243279,-0.52100773986473,0.609436242835306,0.958224939143108,-5.96067027507657
"Plekha5",0.0162855716929227,0.0129779350306892,0.520901595735571,0.609508528084093,0.958224939143108,-5.96072511296836
